category,AD_Std,Din_Std,INP_Std,AD_Delta,Din_Delta,INP_Delta,worst_model,AD_Std_P,AD_CV_P,AD_P_Delta,Din_Std_P,Din_CV_P,Din_P_Delta,INP_Std_P,INP_CV_P,INP_P_Delta
eraser,0.9014894328609846,0.9074102549124712,0.9138619537180842,-0.0988805200874142,-0.1662567691081271,-0.0968852939694231,Dinomaly,0.8467,0.5806,-0.2661,0.3044,0.6026,0.2982,0.3725,0.6265,0.254
regulator,0.7935984317650985,0.8586624958291624,0.8188038038038037,-0.0899642976309642,-0.1578760427093759,-0.106391057724391,Dinomaly,0.2634,0.1767,-0.0867,0.206,0.5448,0.3388,0.2358,0.5474,0.3116
toy,0.8610183944802156,0.8612243780879536,0.8617982513000013,-0.0891433674718754,-0.1289663368048053,-0.0874593434452558,Dinomaly,0.7815,0.5531,-0.2284,0.4303,0.6171,0.1868,0.509,0.6393,0.1303
end_cap,0.8284223794109059,0.8709882948216037,0.8661223398156249,-0.0873179026588711,-0.1932553308182891,-0.205043258267986,INP-Former,0.4414,0.203,-0.2384,0.413,0.4796,0.0666,0.4568,0.4934,0.0366
mint,0.7553979732470866,0.7199388393460845,0.7561033562406152,-0.0744571384136045,-0.0344761589389335,-0.031783325955663,AnomalyDINO,0.5159,0.1276,-0.3883,0.4158,0.634,0.2182,0.4523,0.5889,0.1366
vcpill,0.9368728232033554,0.919310539030427,0.926934032872408,-0.0555675603574763,-0.1780395121011367,-0.1092669660456772,Dinomaly,0.6198,0.5184,-0.1014,0.3289,0.4023,0.0734,0.3611,0.4031,0.042
porcelain_doll,0.8294047478724157,0.8487720125415499,0.8861821353638699,-0.0280663539137336,-0.027256811020219,-0.0434500263246816,INP-Former,0.4808,0.1901,-0.2907,0.142,0.2688,0.1268,0.1811,0.2778,0.0967
plastic_plug,0.8245408787798197,0.9021439834950076,0.9007515538350916,-0.0239999355273726,-0.0649324425365323,-0.0260597762740134,Dinomaly,0.5972,0.2936,-0.3036,0.371,0.6113,0.2403,0.4169,0.5786,0.1617
plastic_nut,0.8435898822025619,0.8839327697975891,0.9024151897470872,-0.0205662504230356,-0.1731474556764187,-0.1406827875506924,Dinomaly,0.3108,0.2232,-0.0876,0.1971,0.4697,0.2726,0.2458,0.534,0.2882
rolled_strip_base,0.9810340346534654,0.9915897277227722,0.9906834777227724,-0.0157223081683167,-0.0636383044554453,-0.0233595297029702,Dinomaly,0.5889,0.2513,-0.3376,0.2331,0.6111,0.378,0.2632,0.5674,0.3042
tape,0.9642734678048348,0.9660432539535158,0.9720965732598472,-0.0111542305144298,-0.1531299763539066,-0.0680180036224905,Dinomaly,0.3161,0.1251,-0.191,0.0902,0.3249,0.2347,0.1282,0.3104,0.1822
wooden_beads,0.9182726449053557,0.8737177282749765,0.8880990012254445,-0.0108112740896737,-0.0028936620775489,0.0017874614985772,AnomalyDINO,0.7272,0.5152,-0.212,0.3445,0.4293,0.0848,0.4083,0.4369,0.0286
woodstick,0.8431511258273073,0.840843316491559,0.8371669751752965,-0.0059061676543933,0.0141173595374771,-0.0001866021728711,AnomalyDINO,0.8916,0.6458,-0.2458,0.8188,0.9065,0.0877,0.8639,0.8976,0.0337
bottle_cap,0.9212576718374894,0.9058767086401072,0.8866520701792737,-0.0026520178049821,-0.0134165002928974,0.0129866895291835,Dinomaly,0.2796,0.1667,-0.1129,0.0943,0.3145,0.2202,0.1068,0.2989,0.1921
button_battery,0.8460043959160521,0.866880601247873,0.8542992058990357,-0.0019357629041405,-0.0270618264322178,-0.0357076006806579,INP-Former,0.7048,0.3988,-0.306,0.4016,0.4999,0.0983,0.444,0.5092,0.0652
toy_brick,0.809538984398314,0.723750839301701,0.729348223944345,0.0026738170508803,-0.0160235225958669,0.014847625941883,Dinomaly,0.9259,0.8241,-0.1018,0.7209,0.8573,0.1364,0.7763,0.8287,0.0524
fire_hood,0.8552904805632078,0.845468931741659,0.8558452708907254,0.0127448729721457,0.0140140801958983,0.0131274869911234,AnomalyDINO,0.4809,0.2864,-0.1945,0.3057,0.3775,0.0718,0.3589,0.4091,0.0502
